Problem Name	Level (Assignment)	Level (ProblemSet)	BRD	SWF	Package
3x-1=-10	Lynnette Tutor	ProblemSetDashboard_4	FinalBRDs\3x-1eq-10.brd		Dashboard
7=-1 2x	Lynnette Tutor	ProblemSetDashboard_4	FinalBRDs\7eq-1+2x.brd		Dashboard
2x 4=0	Lynnette Tutor	ProblemSetDashboard_4	FinalBRDs\2x+4eq0.brd		Dashboard
5x 10=0	Lynnette Tutor	ProblemSetDashboard_4	FinalBRDs\5x+10eq0.brd		Dashboard
4x 5=1	Lynnette Tutor	ProblemSetDashboard_4	FinalBRDs\4x+5eq1.brd		Dashboard
7x 15=1	Lynnette Tutor	ProblemSetDashboard_4	FinalBRDs\7x+15eq1.brd		Dashboard
11=2x 5	Lynnette Tutor	ProblemSetDashboard_4	FinalBRDs\11eq2x+5.brd		Dashboard
15=4x 3	Lynnette Tutor	ProblemSetDashboard_4	FinalBRDs\15eq4x+3.brd		Dashboard
4x 1=9	Lynnette Tutor	ProblemSetDashboard_4	FinalBRDs\4x+1eq9.brd		Dashboard
2x-5=5	Lynnette Tutor	ProblemSetDashboard_4	FinalBRDs\2x-5eq5.brd		Dashboard
2par2x 1pareq6	Lynnette Tutor	ProblemSetDashboard_5	FinalBRDs\2par2x+1pareq6-post.brd		Dashboard 
2parx 1pareq6	Lynnette Tutor	ProblemSetDashboard_5	FinalBRDs\2parx+1pareq6-post.brd		Dashboard
2par-3 7xpareq8	Lynnette Tutor	ProblemSetDashboard_5	FinalBRDs\2par-3+7xpareq8-post.brd		Dashboard
15eq3par1 xpar	Lynnette Tutor	ProblemSetDashboard_5	FinalBRDs\15eq3par1+xpar-post.brd		Dashboard
3parx-2pareq3	Lynnette Tutor	ProblemSetDashboard_5	FinalBRDs\3parx-2pareq3-post.brd		Dashboard
3par-2 xpareq9	Lynnette Tutor	ProblemSetDashboard_5	FinalBRDs\3par-2+xpareq9-post.brd		Dashboard
16eq4parx 2par	Lynnette Tutor	ProblemSetDashboard_5	FinalBRDs\16eq4parx+2par-post.brd		Dashboard
10eq2par2x 1par	Lynnette Tutor	ProblemSetDashboard_5	FinalBRDs\10eq2par2x+1par-post.brd		Dashboard
20eq5parx-1par	Lynnette Tutor	ProblemSetDashboard_5	FinalBRDs\20eq5parx-1par-post.brd		Dashboard
3par3x 1pareq21	Lynnette Tutor	ProblemSetDashboard_5	FinalBRDs\3par3x+1pareq21-post.brd		Dashboard
4par2x-3pareq4	Lynnette Tutor	ProblemSetDashboard_5	FinalBRDs\4par2x-3pareq4-post.brd		Dashboard
5par-2 2xpareq20	Lynnette Tutor	ProblemSetDashboard_5	FinalBRDs\5par-2+2xpareq20-post.brd		Dashboard
1 2par2x-1pareq7	Lynnette Tutor	ProblemSetDashboard_5	FinalBRDs\1+2par2x-1pareq7-post.brd		Dashboard
2 3parx 2pareq11	Lynnette Tutor	ProblemSetDashboard_5	FinalBRDs\2+3parx+2pareq11-post.brd		Dashboard
1eq2par3x-4par 15	Lynnette Tutor	ProblemSetDashboard_5	FinalBRDs\1eq2par3x-4par+15-post.brd		Dashboard
7parx-6par 4eq-24	Lynnette Tutor	ProblemSetDashboard_5	FinalBRDs\7parx-6par+4eq-24-post.brd		Dashboard
5eq3 2parx-2par	Lynnette Tutor	ProblemSetDashboard_5	FinalBRDs\5eq3+2parx-2par-post.brd		Dashboard
10eq1 3parx-4par	Lynnette Tutor	ProblemSetDashboard_5	FinalBRDs\10eq1+3parx-4par-post.brd		Dashboard
4 3par-1 xpareq7	Lynnette Tutor	ProblemSetDashboard_5	FinalBRDs\4+3par-1+xpareq7-post.brd		Dashboard
2parx-3par 6eq14	Lynnette Tutor	ProblemSetDashboard_5	FinalBRDs\2parx-3par+6eq14-post.brd		Dashboard
5par-6 xpar-1eq-16	Lynnette Tutor	ProblemSetDashboard_5	FinalBRDs\5par-6+xpar-1eq-16-post.brd		Dashboard
6par1 xpar 8eq-4	Lynnette Tutor	ProblemSetDashboard_5	FinalBRDs\6par1+xpar+8eq-4-post.brd		Dashboard
18eq-2 4parx-1par	Lynnette Tutor	ProblemSetDashboard_5	FinalBRDs\18eq-2+4parx-1par-post.brd		Dashboard
10eq3par2x 2par-8	Lynnette Tutor	ProblemSetDashboard_5	FinalBRDs\10eq3par2x+2par-8-post.brd		Dashboard
1 2par2x-1pareq7	Lynnette Tutor	ProblemSetDashboard_6	FinalBRDs\1+2par2x-1pareq7-post.brd		Dashboard
2 3parx 2pareq11	Lynnette Tutor	ProblemSetDashboard_6	FinalBRDs\2+3parx+2pareq11-post.brd		Dashboard
1eq2par3x-4par 15	Lynnette Tutor	ProblemSetDashboard_6	FinalBRDs\1eq2par3x-4par+15-post.brd		Dashboard
7parx-6par 4eq-24	Lynnette Tutor	ProblemSetDashboard_6	FinalBRDs\7parx-6par+4eq-24-post.brd		Dashboard
5eq3 2parx-2par	Lynnette Tutor	ProblemSetDashboard_6	FinalBRDs\5eq3+2parx-2par-post.brd		Dashboard
10eq1 3parx-4par	Lynnette Tutor	ProblemSetDashboard_6	FinalBRDs\10eq1+3parx-4par-post.brd		Dashboard
4 3par-1 xpareq7	Lynnette Tutor	ProblemSetDashboard_6	FinalBRDs\4+3par-1+xpareq7-post.brd		Dashboard
2parx-3par 6eq14	Lynnette Tutor	ProblemSetDashboard_6	FinalBRDs\2parx-3par+6eq14-post.brd		Dashboard
5par-6 xpar-1eq-16	Lynnette Tutor	ProblemSetDashboard_6	FinalBRDs\5par-6+xpar-1eq-16-post.brd		Dashboard
6par1 xpar 8eq-4	Lynnette Tutor	ProblemSetDashboard_6	FinalBRDs\6par1+xpar+8eq-4-post.brd		Dashboard
18eq-2 4parx-1par	Lynnette Tutor	ProblemSetDashboard_6	FinalBRDs\18eq-2+4parx-1par-post.brd		Dashboard
10eq3par2x 2par-8	Lynnette Tutor	ProblemSetDashboard_6	FinalBRDs\10eq3par2x+2par-8-post.brd		Dashboard
2x 6=3x	Lynnette Tutor	ProblemSetDashboard_7	FinalBRDs\2x+6eq3x-post.brd		Dashboard
3x 10=5x	Lynnette Tutor	ProblemSetDashboard_7	FinalBRDs\3x+10eq5x-post.brd		Dashboard
10x-6=4x	Lynnette Tutor	ProblemSetDashboard_7	FinalBRDs\10x-6eq4x-post.brd		Dashboard
8x-9=5x	Lynnette Tutor	ProblemSetDashboard_7	FinalBRDs\8x-9eq5x-post.brd		Dashboard
x 9=4x	Lynnette Tutor	ProblemSetDashboard_7	FinalBRDs\x+9eq4x-post.brd		Dashboard
4x 3=7x	Lynnette Tutor	ProblemSetDashboard_7	FinalBRDs\4x+3eq7x-post.brd		Dashboard
4x=2x 6	Lynnette Tutor	ProblemSetDashboard_7	FinalBRDs\4xeq2x+6-post.brd		Dashboard
6x=2x 8	Lynnette Tutor	ProblemSetDashboard_7	FinalBRDs\6xeq2x+8-post.brd		Dashboard
12x=2x 20	Lynnette Tutor	ProblemSetDashboard_7	FinalBRDs\12xeq2x+20-post.brd		Dashboard
5x=3x 10	Lynnette Tutor	ProblemSetDashboard_7	FinalBRDs\5xeq3x+10-post.brd		Dashboard
3x-9=6x	Lynnette Tutor	ProblemSetDashboard_7	FinalBRDs\3x-9eq6x-post.brd		Dashboard
7x=2x-10	Lynnette Tutor	ProblemSetDashboard_7	FinalBRDs\7xeq2x-10-post.brd		Dashboard
4x 11=x 2	Lynnette Tutor	ProblemSetDashboard_7	FinalBRDs\4x+11eqx+2-post.brd		Dashboard
6x 16=x 1	Lynnette Tutor	ProblemSetDashboard_7	FinalBRDs\6x+16eqx+1-post.brd		Dashboard
3x-4=x 6	Lynnette Tutor	ProblemSetDashboard_7	FinalBRDs\3x-4eqx+6-post.brd		Dashboard
4x 2=6x-8	Lynnette Tutor	ProblemSetDashboard_7	FinalBRDs\4x+2eq6x-8-post.brd		Dashboard
3x 13=2x 6	Lynnette Tutor	ProblemSetDashboard_7	FinalBRDs\3x+13eq2x+6-post.brd		Dashboard
7x 10=5x 2	Lynnette Tutor	ProblemSetDashboard_7	FinalBRDs\7x+10eq5x+2-post.brd		Dashboard
5x 2=2x 8	Lynnette Tutor	ProblemSetDashboard_7	FinalBRDs\5x+2eq2x+8-post.brd		Dashboard
6x 3=x 13	Lynnette Tutor	ProblemSetDashboard_7	FinalBRDs\6x+3eqx+13-post.brd		Dashboard
8x 1=2x 13	Lynnette Tutor	ProblemSetDashboard_7	FinalBRDs\8x+1eq2x+13-post.brd		Dashboard
9x 3=3x 21	Lynnette Tutor	ProblemSetDashboard_7	FinalBRDs\9x+3eq3x+21-post.brd		Dashboard
4x 1=x 10	Lynnette Tutor	ProblemSetDashboard_7	FinalBRDs\4x+1eqx+10-post.brd		Dashboard
2x-1=5x 10	Lynnette Tutor	ProblemSetDashboard_7	FinalBRDs\2x-1eq5x+10-post.brd		Dashboard
-2x 2=-5x 8	Lynnette Tutor	ProblemSetDashboard_7	FinalBRDs\-2x+2eq-5x+8-post.brd		Dashboard
-x 3=-4x 15	Lynnette Tutor	ProblemSetDashboard_7	FinalBRDs\-x+3eq-4x+15-post.brd		Dashboard
-5x 6=-2x-9	Lynnette Tutor	ProblemSetDashboard_7	FinalBRDs\-5x+6eq-2x-9-post.brd		Dashboard
-6x-2=-3x 7	Lynnette Tutor	ProblemSetDashboard_7	FinalBRDs\-6x-2eq-3x+7-post.brd		Dashboard
-3x 1=-7x 13	Lynnette Tutor	ProblemSetDashboard_7	FinalBRDs\-3x+1eq-7x+13-post.brd		Dashboard
-2x 3=-6x 11	Lynnette Tutor	ProblemSetDashboard_7	FinalBRDs\-2x+3eq-6x+11-post.brd		Dashboard
-4x 2=-5x 6	Lynnette Tutor	ProblemSetDashboard_7	FinalBRDs\-4x+2eq-5x+6-post.brd		Dashboard
-10-7x=-1-4x	Lynnette Tutor	ProblemSetDashboard_7	FinalBRDs\-10-7xeq-1-4x-post.brd		Dashboard
-8-5x=-2-3x	Lynnette Tutor	ProblemSetDashboard_7	FinalBRDs\-8-5xeq-2-3x-post.brd		Dashboard
-12-6x=-3-3x	Lynnette Tutor	ProblemSetDashboard_7	FinalBRDs\-12-6xeq-3-3x-post.brd		Dashboard
-18-11x=-3-6x	Lynnette Tutor	ProblemSetDashboard_7	FinalBRDs\-18-11xeq-3-6x-post.brd		Dashboard
-3x-2=-x 6	Lynnette Tutor	ProblemSetDashboard_7	FinalBRDs\-3x-2eq-x+6-post.brd		Dashboard
4x 11=x 2	Lynnette Tutor	ProblemSetDashboard_8	FinalBRDs\4x+11eqx+2-post.brd		Dashboard
6x 16=x 1	Lynnette Tutor	ProblemSetDashboard_8	FinalBRDs\6x+16eqx+1-post.brd		Dashboard
3x-4=x 6	Lynnette Tutor	ProblemSetDashboard_8	FinalBRDs\3x-4eqx+6-post.brd		Dashboard
4x 2=6x-8	Lynnette Tutor	ProblemSetDashboard_8	FinalBRDs\4x+2eq6x-8-post.brd		Dashboard
3x 13=2x 6	Lynnette Tutor	ProblemSetDashboard_8	FinalBRDs\3x+13eq2x+6-post.brd		Dashboard
7x 10=5x 2	Lynnette Tutor	ProblemSetDashboard_8	FinalBRDs\7x+10eq5x+2-post.brd		Dashboard
5x 2=2x 8	Lynnette Tutor	ProblemSetDashboard_8	FinalBRDs\5x+2eq2x+8-post.brd		Dashboard
6x 3=x 13	Lynnette Tutor	ProblemSetDashboard_8	FinalBRDs\6x+3eqx+13-post.brd		Dashboard
8x 1=2x 13	Lynnette Tutor	ProblemSetDashboard_8	FinalBRDs\8x+1eq2x+13-post.brd		Dashboard
9x 3=3x 21	Lynnette Tutor	ProblemSetDashboard_8	FinalBRDs\9x+3eq3x+21-post.brd		Dashboard
4x 1=x 10	Lynnette Tutor	ProblemSetDashboard_8	FinalBRDs\4x+1eqx+10-post.brd		Dashboard
2x-1=5x 10	Lynnette Tutor	ProblemSetDashboard_8	FinalBRDs\2x-1eq5x+10-post.brd		Dashboard
-2x 2=-5x 8	Lynnette Tutor	ProblemSetDashboard_8	FinalBRDs\-2x+2eq-5x+8-post.brd		Dashboard
-x 3=-4x 15	Lynnette Tutor	ProblemSetDashboard_8	FinalBRDs\-x+3eq-4x+15-post.brd		Dashboard
-5x 6=-2x-9	Lynnette Tutor	ProblemSetDashboard_8	FinalBRDs\-5x+6eq-2x-9-post.brd		Dashboard
-6x-2=-3x 7	Lynnette Tutor	ProblemSetDashboard_8	FinalBRDs\-6x-2eq-3x+7-post.brd		Dashboard
-3x 1=-7x 13	Lynnette Tutor	ProblemSetDashboard_8	FinalBRDs\-3x+1eq-7x+13-post.brd		Dashboard
-2x 3=-6x 11	Lynnette Tutor	ProblemSetDashboard_8	FinalBRDs\-2x+3eq-6x+11-post.brd		Dashboard
-4x 2=-5x 6	Lynnette Tutor	ProblemSetDashboard_8	FinalBRDs\-4x+2eq-5x+6-post.brd		Dashboard
-10-7x=-1-4x	Lynnette Tutor	ProblemSetDashboard_8	FinalBRDs\-10-7xeq-1-4x-post.brd		Dashboard
-8-5x=-2-3x	Lynnette Tutor	ProblemSetDashboard_8	FinalBRDs\-8-5xeq-2-3x-post.brd		Dashboard
-12-6x=-3-3x	Lynnette Tutor	ProblemSetDashboard_8	FinalBRDs\-12-6xeq-3-3x-post.brd		Dashboard
-18-11x=-3-6x	Lynnette Tutor	ProblemSetDashboard_8	FinalBRDs\-18-11xeq-3-6x-post.brd		Dashboard
-3x-2=-x 6	Lynnette Tutor	ProblemSetDashboard_8	FinalBRDs\-3x-2eq-x+6-post.brd		Dashboard
-2x 2=-5x 8	Lynnette Tutor	ProblemSetDashboard_9	FinalBRDs\-2x+2eq-5x+8-post.brd		Dashboard
-x 3=-4x 15	Lynnette Tutor	ProblemSetDashboard_9	FinalBRDs\-x+3eq-4x+15-post.brd		Dashboard
-5x 6=-2x-9	Lynnette Tutor	ProblemSetDashboard_9	FinalBRDs\-5x+6eq-2x-9-post.brd		Dashboard
-6x-2=-3x 7	Lynnette Tutor	ProblemSetDashboard_9	FinalBRDs\-6x-2eq-3x+7-post.brd		Dashboard
-3x 1=-7x 13	Lynnette Tutor	ProblemSetDashboard_9	FinalBRDs\-3x+1eq-7x+13-post.brd		Dashboard
-2x 3=-6x 11	Lynnette Tutor	ProblemSetDashboard_9	FinalBRDs\-2x+3eq-6x+11-post.brd		Dashboard
-4x 2=-5x 6	Lynnette Tutor	ProblemSetDashboard_9	FinalBRDs\-4x+2eq-5x+6-post.brd		Dashboard
-10-7x=-1-4x	Lynnette Tutor	ProblemSetDashboard_9	FinalBRDs\-10-7xeq-1-4x-post.brd		Dashboard
-8-5x=-2-3x	Lynnette Tutor	ProblemSetDashboard_9	FinalBRDs\-8-5xeq-2-3x-post.brd		Dashboard
-12-6x=-3-3x	Lynnette Tutor	ProblemSetDashboard_9	FinalBRDs\-12-6xeq-3-3x-post.brd		Dashboard
-18-11x=-3-6x	Lynnette Tutor	ProblemSetDashboard_9	FinalBRDs\-18-11xeq-3-6x-post.brd		Dashboard
-3x-2=-x 6	Lynnette Tutor	ProblemSetDashboard_9	FinalBRDs\-3x-2eq-x+6-post.brd		Dashboard
